0,Afghanistan,Albania,Algeria,Andorra,Angola,Antigua&Barbuda,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bhutan,Bolivia,Bosnia&Herzegovina,Botswana,Brazil,BruneiDarussalem,Bulgaria,BurkinaFaso,Burma,Burundi,Cambodia,Cameroon,Canada,CapeVerde,CentralAfricanRepublic,Chad,Chile,China,Colombia,Comoros,Congo,CongoDemocratic,CostaRica,CotedIvoire,Croatia,Cuba,Cyprus,CzechRepublic,Denmark,Djibouti,Dominica,DominicanRepublic,Ecuador,Egypt,ElSalvador,EquatorialGuinea,Eritrea,Estonia,Ethiopia,Fiji,Finland,France,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Grenada,Guatamala,Guinea,Guinea-Bissau,Guyana,Haiti,HolySee(VaticanCity),Honduras,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,KoreaNorth,KoreaSouth,Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Macedonia,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,MarshallIslands,Mauritania,Mauritius,Mexico,Micronesia,Moldova,Monaco,Mongolia,Montenegro,Morocco,Mozambique,Namibia,Nauru,Nepal,Netherlands,NewZealand,Nicaragua,Niger,Nigeria,Norway,Oman,Pakistan,Palau,Panama,PapuaNewGuinea,Paraguay,Peru,Phillipines,Poland,Portugal,Qatar,Romania,Russia,Rwanda,St.Kitts&Nevis,St.Lucia,St.Vincent&TheGrenadines,Samoa,SanMarino,SaoTome&Principe,SaudiArabia,Senegal,Serbia,Seychelles,SierraLeone,Singapore,Slovakia,Slovenia,SolomonIslands,Somalia,SouthAfrica,SouthSudan,Spain,SriLanka,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad&Tobago,Tunisia,Turkey,Turkmenistan,Tuvalu,Uganda,Ukraine,UnitedArabEmirates,UnitedKingdom,UnitedStates,Uruguay,Uzbekistan,Vanuatu,Venezuela,Vietnam,Yemen,Zambia,Zimbabwe
Greece,0.469,5.484,2.16,0.01,1.25,0.01,2.251,2.071,2.16,3.326,2.16,0.01,1.103,0.524,0.028,1.326,3.326,0.01,0.185,0,0.416,2.16,0.028,2.251,0.316,4.417,0.185,0.226,0.028,0.112,0.962,3.326,0.185,0.01,0.028,2.16,2.251,0.524,0.01,0.185,1.983,0.469,0.416,2.251,2.251,5.607,3.326,3.326,0.028,0.01,0.469,0.524,5.732,0.365,0.112,0.226,2.071,1.103,0.028,3.326,3.326,0.365,0.185,2.16,3.326,0.524,0,0.01,0.365,0.147,0.01,0.01,0.147,2.251,0.27,3.326,0.365,2.251,2.251,2.251,2.251,3.222,5.607,7.022,0.052,2.251,3.222,2.16,1.176,0,0.365,2.16,0.469,2.16,0.112,0.112,3.12,3.222,0.028,0.08,4.303,0.01,3.12,1.896,1.25,0.052,0.01,0.64,0.08,0.226,1.983,0,0.147,0.185,2.16,0,1.81,0.052,0.365,1.81,2.251,0.316,0.185,0,0.316,3.326,1.103,0.27,0.01,2.16,3.326,0.524,2.251,0,0.416,0.01,0.416,2.16,1.326,3.326,4.417,3.222,3.326,3.326,0.27,0.01,0.01,0,0.01,0.028,0.01,2.251,0.524,2.251,0.028,0.052,1.032,3.222,2.16,0,0.112,2.251,0.028,4.417,0.524,1.25,0.01,0.01,3.326,3.326,2.16,0.01,0.01,0.416,3.222,0.01,0.052,0,0.028,2.16,5.732,0.028,0,0.416,2.251,2.251,3.326,3.326,2.071,0.416,0,2.251,0.581,0.581,0.112,0.962
Grenada,0.08,0.08,0.052,0.112,0.08,0.365,0.028,0.147,0.028,0.01,0.08,0.316,0.08,0.052,1.896,0.08,0.365,0.226,0.08,0.08,0.27,0.052,0.185,0.01,0.08,0.01,0.112,0.052,0.185,0.147,0.08,1.032,0.147,0.147,0.112,0.112,0.962,0.147,0.08,0.08,0.052,0.112,0.052,0.028,1.032,0.028,0.01,0.01,0.08,0.316,0.226,0.147,0,0.112,0.147,0.185,0.112,0.147,0.27,0.01,0,0.08,0.185,0.08,0,0.08,0.01,0,0.147,0.226,0.226,0.416,0.27,0.01,0.147,0.01,0.185,0,0.01,0.028,0.052,0.052,0.028,0,0.365,0,0.052,0.052,0.052,0.08,0.08,0.01,0.112,0.052,0.185,0.112,0.08,0.08,0.226,0.147,0.028,0.147,0.08,0.185,0.08,0.147,0.185,0.01,0.147,0.147,0.147,0.147,0.08,0.147,0.08,0.226,0.112,0.226,0.185,0.112,0.01,0.112,0.112,0.08,0.112,0.01,0.185,0.147,0.185,0.052,0.028,0.028,0.01,0.147,0.112,0.226,0.147,0.08,0.028,0.01,0.01,0.052,0.01,0,0.185,0.316,0.416,3.75,0.185,0.112,0.08,0.01,0.052,0.028,0.147,0.185,0.028,0.052,0.052,0.112,0.08,0.01,0.185,0,0.08,0.052,0.27,0.112,0.01,0.01,0.147,0.052,0.185,0.112,0.01,0.185,0.112,0.701,3.75,0.052,0.01,0.185,0.112,0.185,0.01,0.028,1.726,1.726,0.147,0.08,0.112,1.25,0.028,0.112,0.226,0.185
Guatamala,0.27,0.365,0.365,0.052,0.365,0.147,2.16,0.185,0.316,1.726,0.185,0.147,0.08,0.147,0.226,0.316,0.962,3.968,0.08,0.01,0.581,0.316,0.052,2.071,0.112,0.316,0.185,0.27,0.08,0.147,0.185,2.071,0.226,0.028,0.112,2.16,0.147,5.607,0.028,0.147,0.185,5.607,0.226,0.365,2.071,0.226,0.416,0.226,0.028,0.08,2.16,4.303,1.562,5.484,0.147,0.316,0.365,0.27,0.08,0.416,1.482,0.185,0.147,0.27,2.625,0.185,0.365,0.147,0,0.27,0.052,0.112,0.469,1.983,6.889,0.416,0.316,0.226,0.365,0.316,0.365,0.416,1.983,1.726,0.416,1.983,0.27,0.226,0.185,0.01,0.147,1.983,0.27,0.27,0.08,0.112,0.27,0.416,0.08,0.08,0.27,0.028,0.365,0.316,0.316,0.08,0.147,0.316,0.052,0.147,0.27,0.08,0.147,0.112,6.889,0.028,0.147,0.185,0.27,0.226,0.365,0.226,0.147,0.01,0.112,1.896,0.416,4.303,0.08,0.316,1.81,0.08,0.27,0.08,5.607,0.052,0.524,5.484,0.416,0.416,0.416,0.316,0.416,1.562,0.147,0.112,0.147,0.052,0.028,0.185,0.028,0.185,0.147,0.416,0.08,0.052,0.052,0.416,0.316,0.028,0.028,0.27,0.08,1.983,0.365,0.27,0.08,0.028,1.81,1.032,0.365,1.403,0.052,0.147,0.316,0.028,0.028,0.028,0.764,0.316,0.316,0.08,0.01,0.147,0.27,0.226,1.643,7.837,2.071,0.185,0.028,2.16,0.416,0.226,0.185,0.316
Guinea,0.27,0.365,0.469,0.08,0.469,0.226,0.365,0.27,0.185,0.27,0.226,0.185,0.185,0.316,0.27,0.316,1.643,0.147,1.176,0.028,0.365,0.365,0.185,0.894,0.27,0.27,0.469,0.316,0.316,0.27,0.469,0.828,0.365,0.316,0.226,0.365,1.103,0.316,0.08,0.416,0.469,0.185,4.191,0.416,1.81,0.226,0.27,0.147,0.147,0.185,0.27,0.316,1.482,0.185,0.416,0.365,0.226,0.416,0.226,0.27,1.896,1.176,1.896,0.27,1.25,1.176,0.147,0.226,0.27,0,0.894,0.27,0.316,1.562,0.226,0.316,0.316,0.052,0.226,0.27,0.365,0.226,0.185,0.469,0.27,1.326,0.365,0.185,0.316,0.028,0.27,0.316,0.147,0.316,0.226,0.226,0.185,0.469,0.365,1.983,1.103,0.112,0.27,0.27,0.27,0.365,0.27,1.482,0.226,1.176,0.27,0.08,0.469,0.316,0.316,0.112,0.185,0.316,0.316,0.27,2.82,0.316,0.316,0.052,0.27,0.185,0.27,0.27,0.416,0.469,0.316,0.185,0.226,0.052,0.226,0.147,0.316,0.365,0.185,0.226,0.416,0.316,0.27,1.25,0.316,0.112,0.27,0.112,0.147,0.226,0.147,0.828,4.191,0.962,0.27,3.968,0.147,0.365,0.316,0.052,0.147,0.894,0.185,0.185,0.316,0.365,0.147,0.147,0.147,0.27,0.416,0.052,0.147,0.27,0.08,0.147,0.365,0.08,1.482,0.416,0.226,0.185,0.052,0.365,0.894,0.27,1.032,0.962,0.316,0.27,0.112,0.316,0.27,0.365,0.365,0.416
Guinea-Bissau,0.08,0.08,0.524,0.226,0.185,0.147,0.052,0.147,0.01,0.01,0.08,0.185,0.147,0.052,0.185,0.112,0.365,0.147,0.27,0.112,0.185,0.052,0.185,0.365,0.112,0.01,0.226,0.08,0.226,0.226,0.112,0.01,0.316,0.27,0.226,0.052,0.962,0.08,0.147,0.27,0.112,0.028,0.147,0.052,1.032,0.08,0.028,0.01,0.147,0.27,0.08,0.08,0,0.052,0.226,0.226,0.147,0.185,0.185,0.028,0.962,0.185,1.482,0.08,0.316,0.112,0.01,0.226,0.052,0.894,0,0.226,0.147,0.01,0.052,0.028,0.185,0,0.01,0.028,0.08,0.028,0.01,0,0.147,0,0.052,0.052,0.052,0.112,0.08,0.01,0.08,0.052,0.185,0.226,0.147,0.052,0.185,0.27,0.524,0.185,0.112,0.27,0.08,0.27,0.185,0.01,0.112,0.316,0.226,0.147,0.27,0.185,0.028,0.185,0.185,0.226,0.226,0.185,0.052,0.27,0.226,0.112,0.185,0,0.052,0.112,0.226,0.028,0.01,0.052,0.028,0.147,0.052,0.185,0.147,0.08,0.01,0.01,1.81,0.08,0.028,0.962,0.185,0.147,0.147,0.147,0.226,0.185,0.185,0.01,1.326,0.08,0.226,0.316,0.052,0.08,0.08,0.147,0.185,0.01,0.147,0,0.08,0.052,0.185,0.112,0.01,0.01,0.08,0.052,0.185,0.08,0.01,0.27,0.185,0.147,0.112,0.147,0.01,0.226,0.112,0.147,0.01,0.01,0,0.316,0.147,0.147,0.185,0.052,0.028,0.112,0.185,0.185
Guyana,0.147,0.052,0.08,0.112,0.112,0.316,0.052,0.147,0.028,0.028,0.112,0.27,0.112,0.08,1.032,0.112,0.416,0.185,0.112,0.112,0.27,0.112,0.226,1.032,0.112,0.028,0.147,0.112,0.226,0.185,0.08,1.81,0.185,0.147,0.112,0.147,0.962,0.147,0.08,0.08,0.08,0.112,0.08,0.052,1.103,0.028,0.028,0.01,0.112,0.316,0.185,0.185,0,0.147,0.185,0.226,0.08,0.185,0.27,0.028,0,0.147,0.185,0.112,0,0.08,0.01,0.416,0.112,0.27,0.226,0,0.226,0.028,0.112,0.028,0.185,0.962,0.028,0.028,0.147,0.052,0.01,0,0.316,0.01,0.112,0.052,0.052,0.08,0.147,0.01,0.08,0.524,0.185,0.147,0.052,0.147,0.27,0.147,0.028,0.147,0.08,0.112,0.112,0.185,0.226,0.028,0.147,0.185,0.147,0.112,0.08,0.147,0.524,0.147,0.112,0.147,0.226,0.112,0.028,0.185,0.185,0.08,0.147,0.01,0.185,0.147,0.185,0.028,0.028,0.028,0.028,0.112,0.147,0.226,0.226,0.112,0.052,0.01,0.01,0.112,0.028,0.365,0.226,0.27,0.316,0.27,0.185,0.112,0.08,0.01,0.08,0.08,0.185,0.147,0.052,0.147,0.08,0.112,0.147,0.01,0.185,0,0.147,0.052,3.858,0.185,0.01,0.01,0.226,0.028,0.226,0.08,0.01,0.185,0.147,0.701,2.722,0.08,0.01,0.226,0.08,0.185,0.01,0.028,0.962,0.962,0.185,0.112,0.112,1.403,0.052,0.185,0.226,0.27
Haiti,0.112,0.226,0.27,0.147,0.316,0.316,1.81,0.147,0.27,0.185,0.112,3.75,0.052,0.112,0.365,0.185,0.581,0.316,0.27,0.052,0.469,0.147,0.112,1.726,0.112,0.147,0.316,0.185,0.27,0.185,0.27,2.625,0.316,0.08,0.226,1.983,0.01,0.524,0.08,0.226,0.27,0.469,0.27,0.226,1.726,0.08,0.226,0.08,0.08,0.185,4.079,0.469,0.01,0.469,0.27,0.27,0.147,0.147,0.185,0.185,1.81,0.316,0.27,0.185,1.032,0.185,0.147,0.27,0.469,0.316,0.147,0.226,0,1.562,0.469,0.185,0.316,0.052,0.112,0.112,0.226,0.316,0.316,0.416,2.82,1.403,0.185,0.052,0.08,0.052,0.112,0.365,0.185,0.185,0.08,0.112,0.112,0.316,0.185,0.185,0.147,0.112,0.147,0.226,0.147,0.27,0.316,0.147,0.08,0.27,0.112,0.226,0.226,0.185,1.896,0.147,0.08,0.27,0.185,0.185,0.185,0.27,0.185,0.052,0.08,0.08,0.416,0.469,0.226,0.27,0.226,0.028,0.08,0.147,1.896,0.112,0.469,0.469,0.316,0.147,0.147,0.147,0.147,0.01,0.185,0.27,0.316,0.147,0.112,0.316,0.147,0.052,0.27,0.27,0.147,0.08,0.052,0.27,0.185,0.08,0.08,0.469,0.112,1.176,0.147,0.112,0.112,0.08,0.147,0.08,0.316,1.25,0.08,0.112,0.08,0.112,0.226,0.052,0.365,0.226,0.112,0.112,0.052,0.185,0.052,0.08,0.01,5,0.469,0.08,0.052,1.896,0.365,0.185,0.226,0.316
Holy See (Vatican City),0.416,1.983,1.326,0.01,2.071,0.01,2.251,0.416,2.16,2.251,0.469,0.01,0.226,1.032,0.028,1.176,2.251,0.112,1.726,0.01,1.896,1.983,0.028,2.251,0.226,2.251,0.316,0.316,0.581,0.112,1.983,2.251,0.365,0.524,0.469,2.251,0.64,2.071,0.028,1.103,2.071,2.071,1.983,2.071,2.251,2.071,2.251,0.64,0.052,0.01,2.071,2.071,2.251,1.983,0.226,0.147,0.365,1.032,0.028,1.326,2.251,1.896,0.27,2.071,2.251,1.176,2.251,0.01,1.983,1.562,0.01,0.028,1.562,0,1.983,2.16,0.185,1.403,2.251,2.251,2.071,1.25,2.251,3.326,0.112,2.251,1.103,1.176,1.103,0,0.469,2.251,0.27,1.25,0.112,0.147,0.416,2.16,0.052,0.226,1.326,0.01,1.983,0.894,1.103,0.581,0.08,0.64,0.052,0.316,0.701,0.01,0.185,0.08,2.251,0.01,0.894,0.469,0.365,0.828,2.251,1.032,0.365,0,0.08,2.251,1.032,1.896,0.052,1.326,0.64,0.365,0.581,0.01,2.071,0.416,2.071,2.16,2.071,2.251,2.251,0.581,2.251,1.403,1.032,0.01,0.01,0.01,0.01,1.176,0.112,0.64,1.896,2.16,0.416,0.08,0.828,2.16,1.983,0.01,0.052,1.326,0.052,2.251,1.103,1.176,0.028,0.08,2.251,1.403,1.25,1.326,0.469,1.032,1.25,0.416,0.894,0.01,0.524,0.524,2.251,0.052,0,0.962,2.251,0.524,2.251,2.251,2.16,0.894,0.01,2.251,0.581,0.469,0.701,1.032
Honduras,0.147,0.316,0.365,0.052,0.365,0.226,2.071,0.147,0.27,0.365,0.185,0.185,0.08,0.185,0.27,0.27,0.962,1.896,0.08,0.01,0.524,0.226,0.052,2.071,0.112,0.27,0.185,0.226,0.112,0.147,0.226,2.071,0.226,0.052,0.08,2.071,0.08,5.484,0.028,0.112,0.226,8.396,0.185,0.316,1.983,0.185,0.416,0.185,0.028,0.112,2.16,2.16,0.701,5.484,0.112,0.27,0.316,0.226,0.08,0.365,1.25,0.185,0.185,0.27,2.436,0.226,0.27,0.147,6.889,0.226,0.052,0.112,0.469,1.983,0,0.365,0.27,0.147,0.27,0.226,0.27,0.365,1.176,1.562,1.032,1.896,0.226,0.185,0.147,0.01,0.112,1.103,0.226,0.27,0.052,0.08,0.226,0.365,0.112,0.112,0.27,0.052,0.316,0.316,0.185,0.08,0.147,0.27,0.052,0.112,0.185,0.08,0.147,0.112,5.484,0.052,0.08,0.27,0.226,0.147,0.316,0.185,0.112,0.028,0.08,1.032,0.365,8.255,0.112,0.316,0.365,0.052,0.185,0.08,8.255,0.052,0.524,2.16,0.365,0.316,0.316,0.27,0.316,0.27,0.185,0.226,0.185,0.052,0.052,0.147,0.028,0.112,0.147,0.365,0.052,0.052,0.08,0.316,0.27,0.028,0.028,0.185,0.052,1.81,0.27,0.185,0.052,0.052,1.726,0.365,0.365,1.482,0.052,0.185,0.226,0.028,0.052,0.028,0.316,0.27,0.226,0.052,0.028,0.185,0.185,0.147,2.251,6.109,0.524,0.112,0.028,2.071,0.365,0.147,0.226,0.27
Hungary,1.176,2.16,2.16,0.01,1.176,0.028,2.251,0.524,2.16,4.417,1.25,0.01,0.524,0.524,0.028,1.326,4.417,0.028,0.226,0.01,0.416,2.251,0.028,2.251,0.416,4.417,0.27,0.365,0.052,0.27,0.316,2.251,0.185,0.01,0.028,2.16,2.251,1.25,0.01,0.185,0.469,0.469,0.416,4.417,2.251,3.222,3.326,4.417,0.08,0.01,0.469,1.176,3.326,0.365,0.147,0.365,2.071,0.469,0.052,4.417,4.417,0.316,0.226,0.581,4.417,0.524,3.326,0.01,0.416,0.316,0.028,0.028,0.185,2.16,0.365,0,0.469,2.251,2.251,2.251,1.326,4.417,4.417,3.326,0.08,2.251,2.16,2.16,1.176,0,0.416,2.251,1.983,1.326,0.226,0.316,2.16,2.16,0.08,0.08,2.16,0.01,2.16,0.469,2.16,0.052,0.028,2.251,0.27,0.27,0.469,0.01,0.185,0.316,2.16,0.01,1.896,0.112,1.896,1.983,2.251,0.316,0.185,0,0.316,4.417,0.524,0.365,0.052,2.16,4.417,0.524,2.251,0.01,1.032,0.028,0.469,2.16,1.326,3.326,3.326,3.12,5.732,3.326,0.226,0.028,0.028,0.01,0.01,0.112,0.01,2.251,0.524,4.417,0.08,0.08,1.103,4.417,2.16,0.01,0.185,2.251,0.028,3.326,0.581,0.581,0.028,0.028,4.417,2.251,2.16,0.028,0.028,0.365,2.251,0.028,0.052,0.01,0.028,2.16,4.417,0.052,0,0.416,4.417,1.326,4.417,3.326,0.524,0.469,0.01,1.326,2.16,2.071,0.185,0.365
Iceland,0.316,0.416,0.365,0.147,0.365,0.27,0.365,0.365,0.27,1.726,0.365,0.27,0.27,0.316,0.27,0.365,1.81,0.226,0.316,0.08,0.416,0.469,0.27,0.185,0.226,0.416,0.316,0.365,0.365,0.316,0.226,2.625,0.27,0.112,0.185,0.416,1.176,0.416,0.112,0.27,0.316,0.316,0.316,0.469,0.316,0.469,1.032,5.12,0.185,0.27,0.316,0.365,0.226,0.316,0.316,0.416,0.469,0.416,0.316,2.82,2.82,0.316,0.147,0.416,3.019,0.27,0.365,0.185,0.316,0.316,0.185,0.185,0.316,0.185,0.27,0.469,0,0.701,0.226,0.365,0.416,2.071,0.469,1.403,0.316,1.643,0.365,0.316,0.416,0.052,0.27,0.365,0.469,0.316,0.27,0.27,0.469,0.316,0.365,0.27,0.185,0.112,1.176,0.416,0.469,0.365,0.962,0.226,0.316,0.365,0.416,0.147,0.27,0.365,0.365,0.147,0.316,0.226,0.365,0.416,0.316,0.962,0.27,0.052,0.316,0.962,0.365,0.316,0.27,0.316,3.968,0.226,0.316,0.112,0.316,0.226,0.316,0.365,0.316,0.962,0.416,0.147,0.365,1.562,0.365,0.185,0.316,0.185,0.147,0.226,0.08,0.365,0.226,0.469,0.27,0.185,0.27,0.416,1.103,0.052,0.27,0.828,0.27,0.764,1.032,0.365,0.112,0.147,3.968,1.103,0.316,0.052,0.27,0.416,0.365,0.147,0.27,0.08,0.316,0.416,0.416,0.27,0.052,0.962,0.365,0.469,1.983,5,0.365,0.316,0.08,0.316,0.365,0.316,0.416,0.416
India,4.079,0.416,2.16,0,1.983,0.01,2.251,1.81,7.022,3.326,2.071,0,3.019,4.303,0.01,2.071,2.251,0,0.524,2.722,0.226,1.176,0.962,2.251,1.983,2.251,0.524,4.079,0.365,1.726,0.27,7.022,0.052,0,0.01,2.16,4.417,1.983,0.01,0.112,1.896,0.962,1.562,2.071,2.251,2.16,2.251,2.251,2.251,0,1.032,1.032,7.022,0.581,0.01,0.469,0.365,2.919,1.032,3.222,4.417,0.64,0.469,2.071,5.732,1.983,2.251,0,0.226,0.052,0,0.962,0.052,1.403,0.147,2.251,0.701,0,4.417,7.022,2.251,2.16,3.222,2.342,0.416,4.417,5.484,2.16,6.757,0,1.81,4.417,0.226,4.417,1.103,1.562,0.416,2.16,0.365,0.01,1.326,0,1.032,0.764,1.032,1.25,0.365,5.732,4.079,0.524,0.764,0,0.028,4.532,2.16,0,0.052,0,1.643,0.08,2.251,3.858,1.403,0,3.642,3.326,2.071,0.08,0.365,2.251,2.251,5.484,5.732,0,1.643,1.032,0.764,2.071,3.326,2.251,2.251,3.222,2.251,3.326,0.64,0,0,0,0,0,0,5.732,1.896,2.16,1.81,0.01,6.757,2.16,1.896,0,0.469,5.732,0.01,2.251,6.889,4.303,0.962,1.103,2.251,3.326,2.16,0.416,0.962,4.079,7.022,0,0.416,0,1.032,2.16,3.326,0.962,0,1.726,2.251,7.022,7.022,5.732,1.103,1.81,0,2.16,2.251,3.019,1.326,1.81
Indonesia,2.071,0.524,2.16,0.01,0.524,0.01,2.251,0.416,5.607,2.251,1.176,0.01,1.176,2.16,0.01,0.524,2.251,0.028,0.185,0.01,0.416,2.071,0.052,2.251,4.191,2.251,0.27,4.191,0.028,1.983,0.27,2.251,0.147,0.01,0.028,2.16,5.732,1.176,0.028,0.147,0.469,0.416,0.365,1.25,2.251,0.581,2.251,2.251,0.185,0.01,0.365,1.176,2.251,0.316,0.052,0.27,0.416,1.032,0.581,2.251,2.251,0.27,0.185,0.524,3.326,0.469,2.251,0.01,0.365,0.226,0.01,0.028,0.112,2.251,0.27,2.251,0.226,4.417,0,2.251,1.326,0.581,0.64,2.251,0.028,5.732,2.16,0.581,1.176,0,1.896,5.732,0.316,2.251,0.112,1.983,0.416,2.16,0.052,0.028,2.16,0.01,0.469,0.416,0.524,0.524,0.028,7.022,0.365,0.226,0.416,0.01,0.08,0.316,2.16,0.01,0.27,0.052,0.469,0.316,2.251,0.962,0.764,0,0.469,3.326,2.071,0.316,0.028,2.071,2.16,0.581,2.251,0.01,1.032,1.176,0.469,2.071,5.732,2.251,2.16,3.222,2.251,3.326,0.316,0.01,0.01,0,0.01,0.052,0.01,3.326,1.176,2.16,0.08,0.052,6.889,2.16,1.176,0.01,0.701,2.251,0.028,2.251,5.607,2.071,1.032,0.08,2.251,2.251,2.16,2.342,0.028,1.103,7.022,1.032,0.052,0.01,0.028,2.071,3.222,0.052,0,0.416,2.251,3.222,2.251,2.251,0.524,1.896,0.01,2.16,5.607,2.071,0.147,1.81
Iran,4.191,1.25,0.64,0.01,0.524,0.01,2.16,2.919,2.16,3.222,4.191,0.01,5.362,2.071,0.028,2.071,2.251,0.028,0.316,0.01,0.416,2.16,0.028,2.251,1.81,2.251,0.185,0.365,0.08,0.27,0.27,2.251,0.226,0.028,0.028,0.581,3.326,1.176,0.052,0.185,1.103,0.416,0.416,2.16,2.16,3.12,2.251,2.251,0.226,0.01,0.365,0.469,3.326,0.27,0.112,0.365,0.469,0.524,0.052,2.16,2.251,0.365,0.185,2.071,4.417,1.176,2.251,0.028,0.316,0.27,0.028,0.028,0.112,2.251,0.226,2.251,0.365,7.022,2.251,0,6.889,2.16,0.581,2.251,0.052,2.251,2.16,2.071,1.25,0,1.103,0.64,0.469,4.417,1.403,0.27,0.469,1.326,0.08,0.112,0.64,0.01,0.524,0.416,1.25,0.581,0.028,4.417,0.316,0.27,0.416,0.01,0.147,0.316,2.16,0.01,0.27,0.08,0.365,0.416,2.251,0.365,0.226,0,0.365,3.222,1.896,0.316,0.469,0.581,1.326,4.191,1.403,0.01,0.416,0.052,0.416,0.524,2.16,2.251,2.16,4.303,2.251,2.251,0.27,0.028,0.01,0.01,0.01,0.08,0.01,4.417,1.81,2.16,0.147,0.469,0.469,1.326,2.071,0.01,0.894,2.251,0.052,2.251,1.25,2.16,0.028,0.052,2.251,2.251,2.16,0.01,0.147,0.469,2.251,0.028,0.052,0.01,0.052,0.581,3.326,0.147,0.01,1.896,2.251,4.417,4.417,0.64,2.071,1.81,0.01,2.16,1.25,2.16,0.27,0.416
Iraq,1.25,0.524,1.326,0.028,0.469,0.052,0.581,1.176,2.071,2.251,1.25,0.052,5.484,2.071,0.08,1.176,1.326,0.08,0.27,0.028,0.416,0.581,0.112,1.326,0.469,2.251,0.27,0.416,0.147,0.316,0.27,1.326,0.226,0.052,0.052,0.581,2.16,0.469,0.08,0.226,0.416,0.416,0.365,0.581,1.25,0.581,2.16,2.16,0.226,0.052,0.365,0.469,3.222,0.316,0.185,0.416,0.469,0.469,0.112,2.16,1.326,0.365,0.27,1.25,3.222,0.469,2.251,0.052,0.365,0.365,0.08,0.147,0.226,2.071,0.27,1.326,0.416,2.251,1.326,6.889,0,0.581,0.581,2.251,0.147,2.251,3.222,0.581,0.524,0.01,0.469,1.326,0.416,2.251,0.27,0.365,0.469,2.16,0.185,0.112,0.581,0.028,0.524,0.469,0.524,0.185,0.112,1.326,0.316,0.316,0.469,0.01,0.27,0.316,1.25,0.028,0.365,0.147,0.416,0.365,2.251,0.365,0.316,0.01,0.469,2.16,0.469,0.365,0.147,0.524,1.326,2.16,2.251,0.01,0.416,0.112,0.416,0.524,1.326,2.16,1.25,2.251,2.251,2.16,0.226,0.052,0.028,0.028,0.028,0.147,0.01,2.251,0.469,2.16,0.226,0.08,0.469,2.16,0.524,0.01,0.416,1.326,0.08,2.16,1.25,2.16,0.08,0.112,1.326,0.64,1.326,0.052,0.112,0.416,2.16,0.08,0.112,0.028,0.08,1.326,2.251,0.147,0.01,0.416,2.251,4.303,2.16,2.071,0.524,0.469,0.028,2.16,2.071,1.25,0.316,0.416
Ireland,0.469,2.16,0.581,0.052,0.524,0.147,2.16,0.469,2.071,4.417,0.524,0.052,0.27,0.365,0.08,0.524,3.326,0.052,0.147,0.01,0.416,2.16,0.08,2.251,0.27,3.222,0.226,0.316,0.147,0.226,0.365,5.607,0.316,0.028,0.052,1.25,2.251,0.524,0.052,0.27,0.524,0.469,0.416,2.251,1.326,2.16,3.222,3.326,0.112,0.052,0.469,0.524,2.16,0.365,0.185,0.316,4.191,1.896,0.147,3.222,4.417,0.316,0.226,1.25,4.417,0.524,3.222,0.052,0.416,0.226,0.028,0.052,0.316,1.25,0.365,4.417,2.071,2.16,0.581,2.16,0.581,0,2.251,3.222,0.226,2.251,0.524,0.524,1.176,0.01,0.365,2.16,2.071,0.524,0.226,0.226,3.12,0.581,1.482,0.08,0.581,0.028,4.303,1.176,2.16,0.185,0.08,1.983,0.27,0.27,1.983,0.01,0.147,0.365,2.16,0.028,0.416,0.147,0.416,1.983,2.16,0.962,0.316,0.01,0.316,3.326,0.524,0.27,0.08,2.071,4.417,0.365,1.25,0.01,0.365,0.052,0.365,0.524,1.25,4.417,4.417,0.469,3.222,2.251,0.316,0.112,0.112,0.028,0.028,0.08,0.028,2.16,0.469,2.251,0.08,0.112,0.962,3.222,3.222,0.01,0.185,2.16,0.052,4.417,0.469,0.524,0.028,0.08,3.222,4.417,0.524,0.028,0.052,1.103,0.581,0.052,0.147,0.01,0.185,0.524,3.222,0.052,0.01,1.103,1.403,2.071,9.85,8.255,0.524,0.416,0.01,0.581,0.581,0.469,0.894,0.416
